area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
Методы определения морозостойкости бетонов,Бетоны,2018-06,2025-08-26T02:57:44.161388+00:00,"Межгосударственный стандарт ГОСТ 10060-2012 регламентирует методы определения морозостойкости бетонов. Стандарт разработан с учетом основных нормативных положений европейских и американских стандартов для оценки стойкости бетона к быстрому замораживанию и оттаиванию, а также устойчивости поверхности бетона к разрушению.",ГОСТ,ГОСТ 10060-2012_Бетоны Методы определения морозостойкости.pdf,ГОСТ 10060-2012 Бетоны. Методы определения морозостойкости,"['Методы испытаний', 'Морозостойкость бетона', 'Сравнительный анализ стандартов EN и ASTM']","['бетоны', 'морозостойкость', 'методы определения', 'испытание бетона', 'замораживание', 'оттаивание']",Русский,246,10060-2012,5,93.9,5.7,Поправка ИУС № 6-2017,ГОСТ 10060-2012_Бетоны Методы определения морозостойкости.pdf,Действующий,24
Методы определения прочности бетона по контрольным образцам,Строительство,2018-06,2025-08-26T02:57:47.323220+00:00,"Стандарт устанавливает методы определения прочности бетона по контрольным образцам, соответствует европейским стандартам EN 12390-1:2009 по EN 12390-6:2009 и введён в качестве национального стандарта Российской Федерации с 1 июля 2013 года.",ГОСТ,ГОСТ 10180-2012_Бетоны Методы определения прочности по контрольным образцам.pdf,ГОСТ 10180-2012 Бетоны. Методы определения прочности по контрольным образцам,"['методы испытания бетона', 'прочность бетона', 'стандартизация в строительстве']","['бетоны', 'прочность', 'контрольные образцы', 'испытания', 'строительство']",русский,222,10180-2012,5,97.1,7.6,Переиздание. Июнь 2018,ГОСТ 10180-2012_Бетоны Методы определения прочности по контрольным образцам.pdf,Действующий,36
,Металлические трубы,2007-01-01,2025-08-26T02:57:50.938693+00:00,"Настоящий стандарт устанавливает сортамент стальных электросварных прямошовных труб, включая размеры, длины и теоретическую массу труб различного диаметра и толщины стенки. Стандарт применяется к производству электросварных труб и содержит технические требования и размеры для различных диаметров и толщин стенок труб.",ГОСТ,ГОСТ 10704-91_Трубы стальные электросварные прямошовные.pdf,ГОСТ 10704-91 Трубы стальные электросварные прямошовные. Сортамент,"['сортамент труб', 'технические характеристики труб', 'электросварные трубы']","['трубы стальные', 'электросварные', 'прямошовные', 'сортамент', 'размеры', 'теоретическая масса']",русский,1074,10704-91,5,35.0,56.2,,ГОСТ 10704-91_Трубы стальные электросварные прямошовные.pdf,Действующий,15
"Стальные электросварные прямошовные трубы диаметром от 10 до 530 мм из углеродистой и низколегированной стали, применяемые для трубопроводов и конструкций различного назначения",Трубопровод и конструкции,2008,2025-08-26T02:57:54.778244+00:00,"Стандарт устанавливает технические условия на стальные электросварные прямошовные трубы диаметром от 10 до 530 мм из углеродистой и низколегированной стали. Включает требования к размерам, механическим свойствам, термической обработке и химическому составу труб. Не распространяется на трубы для теплоэлектронагревателей.",ГОСТ,ГОСТ 10705-80_Трубы стальные электросварные .pdf,ГОСТ 10705-80 Трубы стальные электросварные Технические условия,"['размеры и допуски', 'качество стали', 'группы качества', 'механические свойства', 'термическая обработка', 'применение']","['трубы стальные электросварные', 'технические условия', 'механические свойства', 'термическая обработка', 'гидроиспытания', 'химический состав']",русский,156,10705-80,5,85.8,19.1,Изм. № 5,ГОСТ 10705-80_Трубы стальные электросварные .pdf,Действующий,19
"Арматурные и закладные изделия, сварные, вязанные и механические соединения для железобетонных конструкций",Железобетонные конструкции,2013-07-01,2025-08-26T02:57:59.092851+00:00,"Настоящий стандарт устанавливает общие технические условия для арматурных и закладных изделий, а также их сварных, вязанных и механических соединений, применяемых в железобетонных конструкциях. Стандарт введен в действие в Российской Федерации и странах СНГ с 1 июля 2013 года.",ГОСТ,"ГОСТ 10922-2012_Арматурные и закладные изделия, их соединения для жб конструкций.pdf","ГОСТ 10922-2012 Арматурные и закладные изделия, их сварные, вязанные и механические соединения для железобетонных конструкций. Общие технические условия","['технические условия', 'конструкционные материалы', 'соединения', 'железобетон']","['арматурные изделия', 'закладные изделия', 'сварные соединения', 'вязанные соединения', 'механические соединения', 'железобетонные конструкции']",Русский,229,10922-2012,5,97.9,1.1,,"ГОСТ 10922-2012_Арматурные и закладные изделия, их соединения для жб конструкций.pdf",Действующий,35
"В строительстве, на базовые изделия из натрий-кальций-силикатного стекла, поставляемые и конечные размеры",Стекло,2016-04-01,2025-08-26T02:58:04.706927+00:00,"Межгосударственный стандарт, регулирующий технические условия на листовое бесцветное стекло для строительства. Введен в действие с 1 апреля 2016 года в Российской Федерации, соответствует европейскому стандарту EN 572-8:2012 с неэквивалентной степенью соответствия.",ГОСТ,ГОСТ 111-2014_Стекло листовое бесцветное.pdf,ГОСТ 111-2014 Стекло листовое бесцветное. Технические условия,"['классификация стекла', 'основные параметры', 'размеры изделий', 'технические требования']","['Стекло листовое', 'бесцветное стекло', 'технические условия', 'межгосударственный стандарт', 'EN 572-8:2012', 'натрий-кальций-силикатное стекло']",русский,200,111-2014,5,97.0,51.4,,ГОСТ 111-2014_Стекло листовое бесцветное.pdf,Действующий,12
Шум на рабочем месте,Система стандартов безопасности труда,2019-09,2025-08-26T02:58:08.068082+00:00,"Межгосударственный стандарт, устанавливающий общие требования безопасности в отношении шума на рабочих местах, включая влияние шума на здоровье работников и меры по управлению профессиональными рисками в этой области.",ГОСТ,ГОСТ 12.1.003-2014 Система стандартов безопасности труда (ССБТ). Шум.pdf,ГОСТ 12.1.003-2014 Система стандартов безопасности труда. Шум. Общие требования безопасности,"['влияние шума на здоровье', 'требования безопасности', 'управление рисками']","['шум', 'безопасность труда', 'гигиенические нормативы', 'профессиональные риски', 'медицинское обслуживание']",Русский,466,12.1.003-2014,5,88.3,0.0,Переиздание,ГОСТ 12.1.003-2014 Система стандартов безопасности труда (ССБТ). Шум.pdf,Действующий,29
"Простые вещества, химические соединения и их смеси в различных агрегатных состояниях и комбинациях, включая полимерные и композитные материалы, применяемые в промышленности, быту и транспорте; разделы методов применимы также к строительным и отделочным материалам; не распространяется на взрывчатые и радиоактивные вещества и материалы",Пожарная безопасность,2019-05-01,2025-08-26T02:58:12.634398+00:00,"Стандарт устанавливает номенклатуру показателей пожаровзрывоопасности веществ и материалов, а также методы их определения. Применяется к веществам и материалам в различных агрегатных состояниях, за исключением взрывчатых и радиоактивных. Введен в действие с 1 мая 2019 года вместо ГОСТ 12.1.044-89.",ГОСТ,ГОСТ 12.1.044-2018 Система стандартов безопасности труда (ССБТ). Пожаровзрывоопасность веществ и материалов.pdf,"ГОСТ 12.1.044-2018 Система стандартов безопасности труда. Пожаровзрывоопасность веществ и материалов. Номенклатура показателей и методы их определения (с Поправкой, с Изменением № 1)","['пожаровзрывоопасность веществ и материалов', 'методы определения показателей']","['пожаровзрывоопасность', 'вещества', 'материалы', 'номенклатура показателей', 'методы определения', 'система стандартов безопасности труда']",русский,308,12.1.044-2018,5,93.4,4.6,"с Поправкой, с Изменением № 1",ГОСТ 12.1.044-2018 Система стандартов безопасности труда (ССБТ). Пожаровзрывоопасность веществ и материалов.pdf,Действующий,233
"Автоматические установки (системы) пожаротушения, предназначенные для локализации или тушения и ликвидации пожара с функциями автоматической пожарной сигнализации",Пожарная безопасность,1993-01-01,2025-08-26T02:58:17.160745+00:00,"Стандарт устанавливает общие технические требования к автоматическим установкам пожаротушения (АУП), включая проектирование, изготовление, монтаж, наладку и эксплуатацию. Регламентирует виды АУП по конструктивному исполнению и виду огнетушащего вещества, а также требования безопасности и надежности эксплуатации.",ГОСТ,ГОСТ 12.3.046-91_Установки пожаротушения автоматические.pdf,ГОСТ 12.3.046-91 Установки Пожаротушения Автоматические. Общие Технические Требования,"['проектирование АУП', 'изготовление АУП', 'монтаж и наладка', 'эксплуатация', 'классификация АУП', 'требования безопасности', 'надежность функционирования']","['автоматические установки пожаротушения', 'АУП', 'пожарная безопасность', 'технические требования', 'автоматическая пожарная сигнализация']",русский,652,12.3.046-91,5,0.0,0.0,Введен впервые,ГОСТ 12.3.046-91_Установки пожаротушения автоматические.pdf,Действующий,8
"вентиляционные системы, кондиционирование воздуха и воздушное отопление производственных, складских, административно-бытовых и общественных зданий и сооружений",Вентиляция,2001-08-01,2025-08-26T02:58:21.804883+00:00,"Стандарт устанавливает общие требования к вентиляционным системам, включая кондиционирование воздуха и воздушное отопление для различных типов зданий и сооружений. Не распространяется на специфические объекты, такие как подземные и открытые горные выработки, метрополитены, транспортные средства, здания особого назначения, а также системы, связанные с взрывчатыми веществами и пневмотранспортом. Включены требования безопасности и монтажные нормы.",ГОСТ,ГОСТ 12.4.021-75 Система стандартов безопасности труда (ССБТ). Системы вентиляционные.pdf,ГОСТ 12.4.021-75 Системы вентиляционные. Общие требования,"['технические требования вентиляционных систем', 'безопасность вентиляционных систем', 'монтаж и эксплуатация вентиляционных систем', 'исключения из применения стандарта']","['вентиляционные системы', 'кондиционирование воздуха', 'воздушное отопление', 'строительные нормы и правила', 'безопасность труда', 'монтаж вентиляционных систем']",русский,276,12.4.021-75,5,98.0,0.0,Изменение №1,ГОСТ 12.4.021-75 Система стандартов безопасности труда (ССБТ). Системы вентиляционные.pdf,Действующий,5
