area_of_application,category,date_issue,date_of_analysis,description,document_type,filename,full_name,keytopics,keywords,language,median_content_length,number,pages_analyzed,percent_clause_detection,percent_missing_clauses,revision,source,status,total_pages
"Проектирование, строительство и реконструкция станционных зданий, сооружений и устройств на железнодорожном транспорте",Железнодорожный транспорт,2014-01-01,2025-08-26T04:10:18.071300+00:00,"Свод правил распространяется на проектирование, строительство и реконструкцию станционных зданий, сооружений и устройств для эксплуатации на железнодорожном транспорте с ограничениями по скорости движения пассажирских и грузовых поездов. Определяет область применения и исключения для объектов, не связанных непосредственно с реконструкцией, а также условия для специализированных железнодорожных линий.",Свод правил,"СП 225.1326000.2014_Станционные здания, сооружения и устройства.pdf","Свод правил Станционные здания, сооружения и устройства","['проектирование', 'строительство', 'реконструкция', 'железнодорожный транспорт']","['станционные здания', 'сооружения', 'устройства', 'железнодорожный транспорт', 'проектирование', 'строительство', 'реконструкция', 'скорость движения поездов']",Русский,466,СП,5,87.0,3.2,,"СП 225.1326000.2014_Станционные здания, сооружения и устройства.pdf",Действующий,133
"Правила проектирования, строительства и реконструкции объектов функциональной подсистемы железнодорожного электроснабжения, предназначенных для электроснабжения нетяговых потребителей электроэнергии железной дороги, включая линии электропередачи напряжением до 35 кВ и трансформаторные подстанции с высшим (первичным) напряжением до 220 кВ",Электроснабжение,2014-12-02,2025-08-26T04:10:27.602328+00:00,"Данный свод правил устанавливает нормы и требования для проектирования, строительства и реконструкции объектов железнодорожного электроснабжения, обслуживающих нетяговых потребителей электроэнергии. В документе определены области применения, нормативные ссылки и основные принципы электроснабжения в указанной сфере.",Свод правил,"СП 226.1326000.2014_Электроснабжение нетяговых потребителей Правила проектирования, строительства и реконструкции.pdf","Свод правил СП 226 Л326000.2014 Электроснабжение нетяговых потребителей Правила проектирования, строительства и реконструкции","['Проектирование', 'Строительство', 'Реконструкция', 'Электроснабжение железных дорог']","['электроснабжение', 'нетяговые потребители', 'железнодорожное электроснабжение', 'проектирование', 'строительство', 'реконструкция', 'линии электропередачи', 'трансформаторные подстанции']",русский,296,226.1326000.2014,5,95.3,5.4,Введен впервые,"СП 226.1326000.2014_Электроснабжение нетяговых потребителей Правила проектирования, строительства и реконструкции.pdf",Действующий,83
Проектирование защиты от коррозии бетонных и железобетонных конструкций городских подземных сооружений и подземных инженерных коммуникаций,Железобетонные конструкции,2019-01-22,2025-08-26T04:10:33.890302+00:00,"Данный свод правил устанавливает требования по защите от коррозии бетонных и железобетонных конструкций подземных сооружений и коммуникаций, включая фундаменты, подземные части зданий, тоннели, пешеходные переходы и инженерные коммуникации. Документ разработан в соответствии с техническими регламентами и включает изменения, утвержденные Министерством строительства Российской Федерации.",Свод правил,"СП 229.1325800.2014_Железобетонные конструкции подземных сооружений и коммуникаций. Защита от коррозии (с изменениями 1, 2).pdf",Свод правил Железобетонные конструкции подземных сооружений и коммуникаций. Защита от коррозии,"['коррозия', 'бетон', 'подземные инженерные сооружения', 'проектирование', 'строительные нормы']","['железобетонные конструкции', 'подземные сооружения', 'коммуникации', 'защита от коррозии', 'строительство', 'технический регламент']",русский,384,229.1325800.2014,5,81.0,0.0,"Изменения N 2, утв. Приказом Минстроя России от 22.01.2019 N 26/пр","СП 229.1325800.2014_Железобетонные конструкции подземных сооружений и коммуникаций. Защита от коррозии (с изменениями 1, 2).pdf",Действующий,121
Автоматические установки водяного пожаротушения высотных стеллажных складов с одноярусным и многоярусным расположением оросителей,Пожарная безопасность,2015-09-01,2025-08-26T04:10:38.295292+00:00,"Свод правил устанавливает нормы и правила проектирования автоматических установок водяного пожаротушения для высотных стеллажных складов с различными расположениями оросителей, обеспечивая соблюдение требований пожарной безопасности для складских зданий класса функциональной пожарной опасности Ф5.2.",Свод правил,СП 241.1311500.2015_Системы противопожарной защиты. Установки водяного пожаротушения высотных стеллажных складов автоматические..pdf,СП 241.1311500.2015 Системы противопожарной защиты Установки водяного пожаротушения высотных стеллажных складов автоматические Нормы и правила проектирования,"['автоматические установки водяного пожаротушения', 'проектирование', 'пожарная безопасность', 'стеллажные склады']","['пожарная безопасность', 'автоматические установки водяного пожаротушения', 'высотные стеллажные склады', 'проектирование', 'нормы и правила']",русский,209,241.1311500.2015,5,94.0,0.0,Введен впервые,СП 241.1311500.2015_Системы противопожарной защиты. Установки водяного пожаротушения высотных стеллажных складов автоматические..pdf,Действующий,15
Проектирование и строительство автомобильных дорог с низкой интенсивностью движения,Инженерное проектирование,2015-12-01,2025-08-26T04:10:43.324849+00:00,"Свод правил устанавливает требования и технические условия для проектирования и строительства автомобильных дорог с низкой интенсивностью движения. Документ включает разделы по нормам, пересечениям, земляным полотнам, дорожным одеждам, искусственным сооружениям, безопасности движения и охране окружающей среды.",Свод правил,СП 243.1326000.2015_Проектирование и строительство автомобильных дорог с низкой интенсивностью движения.pdf,Проектирование и строительство автомобильных дорог с низкой интенсивностью движения,"['технические требования', 'земляное полотно', 'дорожные одежды', 'искусственные сооружения', 'пересечения и примыкания', 'безопасность дорожного движения', 'охрана окружающей среды']","['автомобильные дороги', 'низкая интенсивность движения', 'проектирование', 'строительство', 'технические требования', 'безопасность дорожного движения', 'охрана окружающей среды']",Русский,254,243.1326000.2015,5,94.0,16.4,Введен впервые,СП 243.1326000.2015_Проектирование и строительство автомобильных дорог с низкой интенсивностью движения.pdf,Действующий,116
Авторский надзор за строительством зданий и сооружений,Архитектура,2016-02-19,2025-08-26T04:10:46.263462+00:00,Данный свод правил устанавливает порядок и требования к проведению авторского надзора за строительством зданий и сооружений в Российской Федерации. Включает нормы и нормативные требования для обеспечения контролируемого соответствия строительства проектной документации.,Свод правил,"СП 246.1325800.2016_Положение об авторском надзоре при строительстве, реконструкции и капитальном ремонте ОКС.pdf",Положение об авторском надзоре за строительством зданий и сооружений,"['авторский надзор', 'строительство', 'нормы и требования']","['авторский надзор', 'строительство зданий', 'строительство сооружений', 'нормативный документ', 'Минстрой России']",Русский,308,СП 246.1325800.2016,5,87.3,9.3,Введен впервые,"СП 246.1325800.2016_Положение об авторском надзоре при строительстве, реконструкции и капитальном ремонте ОКС.pdf",Действующий,42
Проектирование систем защиты подземных и заглубленных сооружений различного назначения от подземных вод,Здания и сооружения,2023-12-07,2025-08-26T04:10:50.644579+00:00,"Настоящий свод правил содержит основные положения по проектированию систем защиты подземных и заглубленных сооружений от подземных вод, учитывает требования технических регламентов и положения британского стандарта BS 8102:2009. Документ разработан и утвержден Министерством строительства и ЖКХ РФ и введен в действие с 1 сентября 2016 года. Изменение 1 внесено приказом Минстроя России от 07.12.2023.",Свод правил,СП 250.1325800.2016_Здания и сооружения. Защита от подземных вод (с изменением 1).pdf,Свод правил 250.1325800.2016 Здания и сооружения. Защита от подземных вод,"['проектирование систем защиты', 'технические регламенты', 'строительство', 'нормативные документы']","['подземные воды', 'защита', 'системы защиты', 'подземные сооружения', 'проектирование']",русский,285,250.1325800.2016,5,92.1,0.0,Изменение 1,СП 250.1325800.2016_Здания и сооружения. Защита от подземных вод (с изменением 1).pdf,Действующий,86
Проектирование зданий и комплексов общеобразовательных организаций в Российской Федерации,Архитектура,2023-12-28,2025-08-26T04:10:54.282486+00:00,"Свод правил устанавливает требования к размещению и организации сети зданий и комплексов общеобразовательных организаций, к участку территории, функциональным группам, составу и площадям помещений, объемно-планировочным решениям, освещению и инженерному оборудованию. Документ распространяется на проектирование новых и реконструируемых зданий общеобразовательных организаций всех форм собственности, кроме спальных корпусов интернатов.",Свод правил,СП 251.1325800.2016 Здания общеобразовательных организаций. Правила проектирования (с Изменениями N 1-5).pdf,Свод правил Здания общеобразовательных организаций Правила проектирования,"['требования к проектированию', 'планировочные решения', 'технический регламент', 'здания образовательных учреждений']","['общеобразовательные организации', 'проектирование зданий', 'архитектура', 'сеть зданий', 'инженерное оборудование', 'освещение']",русский,200,251.1325800.2016,5,92.4,2.7,Изменения 5,СП 251.1325800.2016 Здания общеобразовательных организаций. Правила проектирования (с Изменениями N 1-5).pdf,Действующий,90
Проектирование зданий дошкольных образовательных организаций,Архитектура,2023-01-29,2025-08-26T04:10:58.386009+00:00,"Свод правил определяет требования к проектированию зданий дошкольных образовательных организаций с целью обеспечения удобства, безопасности и соответствия современным нормативным и техническим требованиям. В документ включены изменения, утвержденные Минстроем России, и он учитывает требования федерального законодательства в области безопасности зданий, энергоэффективности и санитарно-эпидемиологических норм.",Свод правил,"СП 252.1325800.2016 Здания дошкольных образовательных организаций. Правила проектирования (с Изменениями N 1, 2).pdf","СП 252.1325800.2016 Здания дошкольных образовательных организаций. Правила проектирования (с Изменениями N 1, 2)","['проектирование', 'безопасность', 'энергоэффективность', 'санитарно-эпидемиологические требования']","['здания дошкольных образовательных организаций', 'правила проектирования', 'безопасность', 'энергоэффективность', 'свод правил', 'технические регламенты', 'федеральные законы']",Русский,351,252.1325800.2016,5,93.0,6.7,"Изменения N 1, 2","СП 252.1325800.2016 Здания дошкольных образовательных организаций. Правила проектирования (с Изменениями N 1, 2).pdf",Действующий,44
Проектирование инженерных систем в высотных общественных зданиях выше 50 м и жилых зданиях выше 75 м,Инженерные системы,2022-01-20,2025-08-26T04:11:03.034444+00:00,"Настоящий свод правил устанавливает минимально необходимые требования к инженерным системам высотных зданий, включая пожарную безопасность, механическую безопасность и безопасные условия для проживания и пребывания в таких зданиях. Распространяется на проектирование систем в общественных зданиях высотой более 50 м и жилых зданиях высотой более 75 м. Включает положения, согласованные с нормативными актами по безопасности и противопожарной защите.",Свод правил,"СП 253.1325800.2016_Инженерные системы высотных зданий (c изменениями 1, 2, 3).pdf",Свод правил Инженерные системы высотных зданий,"['требования к инженерным системам', 'пожарная безопасность', 'проектирование и монтаж', 'эксплуатация высотных зданий']","['инженерные системы', 'высотные здания', 'проектирование', 'пожарная безопасность', 'безопасность', 'строительство']",русский,345,СП 253.1325800.2016,5,87.5,0.0,Изменение N 1,"СП 253.1325800.2016_Инженерные системы высотных зданий (c изменениями 1, 2, 3).pdf",Действующий,139
